"","filename","well","assay_variable","sample_category","biological_replicates","name","Fluorophore","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","mean_medians"
"117","B10 Well - B10 WLSM.fcs","B10","51","Maximal",1,"51 /Maximal","mScarlet-I-A",-546.484802246094,2277.29174804688,2888.50390625,3182.84799290166,3777.84643554688,20238.189453125,3380.68790690104
"118","B11 Well - B11 WLSM.fcs","B11","51","Maximal",2,"51 /Maximal","mScarlet-I-A",-576.405334472656,2781.9892578125,4443.41064453125,5179.07460556962,6770.87548828125,33560,3380.68790690104
"119","B12 Well - B12 WLSM.fcs","B12","51","Maximal",3,"51 /Maximal","mScarlet-I-A",-766.401733398438,2178.91882324219,2810.14916992188,3111.87079471848,3695.92028808594,30376.107421875,3380.68790690104
"120","B10 Well - B10 WLSM.fcs","B10","51","Maximal",1,"51 /Maximal","mGreenLantern cor-A",-164.384384155273,2.2718391418457,33.7322769165039,36.4255398832254,68.1701850891113,333,32.7396659851074
"121","B11 Well - B11 WLSM.fcs","B11","51","Maximal",2,"51 /Maximal","mGreenLantern cor-A",-602.708862304688,-12.3114356994629,31.6329689025879,34.0097101757188,78.0353698730469,482,32.7396659851074
"122","B12 Well - B12 WLSM.fcs","B12","51","Maximal",3,"51 /Maximal","mGreenLantern cor-A",-192.728637695312,0.723344802856445,32.8537521362305,35.622682453426,67.7625923156738,301,32.7396659851074
"123","E04 Well - E04 WLSM.fcs","E04","48/sPK18","Repressed",1,"48/sPK18 /Repressed","mScarlet-I-A",-3620.658203125,-43.9290952682495,235.075836181641,372.389191040458,505.561462402344,121829,356.743245442708
"124","E05 Well - E05 WLSM.fcs","E05","48/sPK18","Repressed",2,"48/sPK18 /Repressed","mScarlet-I-A",-807.903381347656,219.819747924805,390.232421875,450.927332586831,570.301940917969,114333,356.743245442708
"125","E06 Well - E06 WLSM.fcs","E06","48/sPK18","Repressed",3,"48/sPK18 /Repressed","mScarlet-I-A",-508.069030761719,285.409759521484,444.921478271484,628.169609351786,625.745910644531,249190,356.743245442708
"126","E04 Well - E04 WLSM.fcs","E04","48/sPK18","Repressed",1,"48/sPK18 /Repressed","mGreenLantern cor-A",-251.163040161133,4223.40478515625,5500.48510742188,6171.81164605563,7559.91345214844,25779.029296875,4859.78361002604
"127","E05 Well - E05 WLSM.fcs","E05","48/sPK18","Repressed",2,"48/sPK18 /Repressed","mGreenLantern cor-A",-241.903228759766,3792.0390625,4572.60595703125,4708.26300865856,5461.4228515625,14384.1884765625,4859.78361002604
"128","E06 Well - E06 WLSM.fcs","E06","48/sPK18","Repressed",3,"48/sPK18 /Repressed","mGreenLantern cor-A",-76.9648513793945,3753.57202148438,4506.259765625,4634.21242114737,5405.9951171875,12431.3583984375,4859.78361002604
"129","D10 Well - D10 WLSM.fcs","D10","48/Dam-","Maximal",1,"48/Dam- /Maximal","mScarlet-I-A",-2254.54174804688,188141.484375,222725.40625,232869.922488744,266841.8046875,675806,217153.739583333
"130","D11 Well - D11 WLSM.fcs","D11","48/Dam-","Maximal",2,"48/Dam- /Maximal","mScarlet-I-A",-1551.02868652344,173989.03515625,210250.15625,219536.355032462,255565.25,734437,217153.739583333
"131","D12 Well - D12 WLSM.fcs","D12","48/Dam-","Maximal",3,"48/Dam- /Maximal","mScarlet-I-A",-1938.95104980469,183823.0234375,218485.65625,228203.992304683,261886.21875,651655,217153.739583333
